site,sensor,date,year,month,day,hour.24,hour,lat,lon,microsite,rep,temp,intensity,pendant.id,timeblock,soil.moisture,cover.type
panoche,hobo.pendant,05/24/19,2019,5,24,5:46:26,5:46:26 AM,36.69363,-120.79318,triangle,1,46.728,69,20578912,evening,23,15
panoche,hobo.pendant,05/24/19,2019,5,24,6:46:26,6:46:26 AM,36.69363,-120.79318,triangle,1,58.303,512,20578912,morning,23,15
panoche,hobo.pendant,05/24/19,2019,5,24,7:46:26,7:46:26 AM,36.69363,-120.79318,triangle,1,77.05,6912,20578912,morning,23,15
panoche,hobo.pendant,05/24/19,2019,5,24,8:46:26,8:46:26 AM,36.69363,-120.79318,triangle,1,77.923,13312,20578912,morning,23,15
panoche,hobo.pendant,05/24/19,2019,5,24,9:46:26,9:46:26 AM,36.69363,-120.79318,triangle,1,88.466,14848,20578912,morning,23,15
panoche,hobo.pendant,05/24/19,2019,5,24,10:46:02,10:46:02 AM,36.69363,-120.79318,triangle,1,101.082,18432,20578912,morning,23,15
panoche,hobo.pendant,05/24/19,2019,5,24,11:46:02,11:46:02 AM,36.69363,-120.79318,triangle,1,100.882,16384,20578912,morning,23,15
panoche,hobo.pendant,05/24/19,2019,5,24,12:46:02,12:46:02 PM,36.69363,-120.79318,triangle,1,101.082,128,20578912,afternoon,23,15
panoche,hobo.pendant,05/24/19,2019,5,24,1:46:26,1:46:26 AM,36.69363,-120.79318,triangle,1,94.633,14848,20578912,evening,23,15
panoche,hobo.pendant,05/24/19,2019,5,24,2:46:26,2:46:26 AM,36.69363,-120.79318,triangle,1,93.493,874,20578912,evening,23,15
panoche,hobo.pendant,05/24/19,2019,5,24,3:46:26,3:46:26 AM,36.69363,-120.79318,triangle,1,96.748,512,20578912,evening,23,15
panoche,hobo.pendant,05/24/19,2019,5,24,4:46:26,4:46:26 AM,36.69363,-120.79318,triangle,1,97.525,496,20578912,evening,23,15
panoche,hobo.pendant,05/24/19,2019,5,24,5:46:26,5:46:26 AM,36.69363,-120.79318,triangle,1,92.174,256,20578912,evening,23,15
panoche,hobo.pendant,05/24/19,2019,5,24,6:46:26,6:46:26 AM,36.69363,-120.79318,triangle,1,84.834,2688,20578912,morning,23,15
panoche,hobo.pendant,05/24/19,2019,5,24,7:46:26,7:46:26 AM,36.69363,-120.79318,triangle,1,63.797,288,20578912,morning,23,15
panoche,hobo.pendant,05/24/19,2019,5,24,8:46:26,8:46:26 AM,36.69363,-120.79318,triangle,1,52.75,,20578912,morning,23,15
panoche,hobo.pendant,05/24/19,2019,5,24,9:46:26,9:46:26 AM,36.69363,-120.79318,triangle,1,53.973,,20578912,morning,23,15
panoche,hobo.pendant,05/24/19,2019,5,24,10:46:02,10:46:02 AM,36.69363,-120.79318,triangle,1,53.449,,20578912,morning,23,15
panoche,hobo.pendant,05/24/19,2019,5,24,11:46:02,11:46:02 AM,36.69363,-120.79318,triangle,1,53.623,,20578912,morning,23,15
panoche,hobo.pendant,05/25/19,2019,5,25,12:46:02,12:46:02 PM,36.69363,-120.79318,triangle,1,52.576,,20578912,afternoon,23,15
panoche,hobo.pendant,05/25/19,2019,5,25,1:46:26,1:46:26 AM,36.69363,-120.79318,triangle,1,52.401,,20578912,evening,23,15
panoche,hobo.pendant,05/25/19,2019,5,25,2:46:26,2:46:26 AM,36.69363,-120.79318,triangle,1,54.842,,20578912,evening,23,15
panoche,hobo.pendant,05/25/19,2019,5,25,3:46:26,3:46:26 AM,36.69363,-120.79318,triangle,1,54.669,,20578912,evening,23,15
panoche,hobo.pendant,05/25/19,2019,5,25,4:46:26,4:46:26 AM,36.69363,-120.79318,triangle,1,55.364,,20578912,evening,23,15
panoche,hobo.pendant,05/25/19,2019,5,25,5:46:26,5:46:26 AM,36.69363,-120.79318,triangle,1,55.017,54,20578912,evening,23,15
panoche,hobo.pendant,05/25/19,2019,5,25,6:46:26,6:46:26 AM,36.69363,-120.79318,triangle,1,63.626,5888,20578912,morning,23,15
panoche,hobo.pendant,05/25/19,2019,5,25,7:46:26,7:46:26 AM,36.69363,-120.79318,triangle,1,72.199,8192,20578912,morning,23,15
panoche,hobo.pendant,05/25/19,2019,5,25,8:46:26,8:46:26 AM,36.69363,-120.79318,triangle,1,78.8,9216,20578912,morning,23,15
panoche,hobo.pendant,05/25/19,2019,5,25,9:46:26,9:46:26 AM,36.69363,-120.79318,triangle,1,90.867,15872,20578912,morning,23,15
panoche,hobo.pendant,05/25/19,2019,5,25,10:46:02,10:46:02 AM,36.69363,-120.79318,triangle,1,96.555,12288,20578912,morning,23,15
panoche,hobo.pendant,05/25/19,2019,5,25,11:46:02,11:46:02 AM,36.69363,-120.79318,triangle,1,95.207,248,20578912,morning,23,15
panoche,hobo.pendant,05/25/19,2019,5,25,12:46:02,12:46:02 PM,36.69363,-120.79318,triangle,1,97.72,15872,20578912,afternoon,23,15
panoche,hobo.pendant,05/25/19,2019,5,25,1:46:26,1:46:26 AM,36.69363,-120.79318,triangle,1,101.082,1752,20578912,evening,23,15
panoche,hobo.pendant,05/25/19,2019,5,25,2:46:26,2:46:26 AM,36.69363,-120.79318,triangle,1,99.687,768,20578912,evening,23,15
panoche,hobo.pendant,05/25/19,2019,5,25,3:46:26,3:46:26 AM,36.69363,-120.79318,triangle,1,93.873,4864,20578912,evening,23,15
panoche,hobo.pendant,05/25/19,2019,5,25,4:46:26,4:46:26 AM,36.69363,-120.79318,triangle,1,91.987,3968,20578912,evening,23,15
panoche,hobo.pendant,05/25/19,2019,5,25,5:46:26,5:46:26 AM,36.69363,-120.79318,triangle,1,87.368,2816,20578912,evening,23,15
panoche,hobo.pendant,05/25/19,2019,5,25,6:46:26,6:46:26 AM,36.69363,-120.79318,triangle,1,78.8,256,20578912,morning,23,15
panoche,hobo.pendant,05/25/19,2019,5,25,7:46:26,7:46:26 AM,36.69363,-120.79318,triangle,1,60.883,4,20578912,morning,23,15
panoche,hobo.pendant,05/25/19,2019,5,25,8:46:26,8:46:26 AM,36.69363,-120.79318,triangle,1,53.274,,20578912,morning,23,15
panoche,hobo.pendant,05/25/19,2019,5,25,9:46:26,9:46:26 AM,36.69363,-120.79318,triangle,1,50.29,,20578912,morning,23,15
panoche,hobo.pendant,05/25/19,2019,5,25,10:46:02,10:46:02 AM,36.69363,-120.79318,triangle,1,49.05,,20578912,morning,23,15
panoche,hobo.pendant,05/25/19,2019,5,25,11:46:02,11:46:02 AM,36.69363,-120.79318,triangle,1,47.802,,20578912,morning,23,15
panoche,hobo.pendant,05/26/19,2019,5,26,12:46:02,12:46:02 PM,36.69363,-120.79318,triangle,1,46.369,,20578912,afternoon,23,15
