site,sensor,year,month,day,hour,microsite,temp,RH
Panoche,station,2014,1,15,11,site,11.06,56
Panoche,station,2014,1,15,12,site,13.94,48
Panoche,station,2014,1,15,13,site,16.22,41
Panoche,station,2014,1,15,14,site,18.11,36
Panoche,station,2014,1,15,15,site,18.89,33
Panoche,station,2014,1,15,16,site,19,31
Panoche,station,2014,1,15,17,site,17.33,37
Panoche,station,2014,1,15,18,site,13.56,48
Panoche,station,2014,1,15,19,site,10.33,58
Panoche,station,2014,1,15,20,site,7.39,62
Panoche,station,2014,1,15,21,site,5.67,67
Panoche,station,2014,1,15,22,site,4.83,63
Panoche,station,2014,1,15,23,site,3.78,63
Panoche,station,2014,1,15,24,site,2.61,72
Panoche,station,2014,1,16,1,site,2,74
Panoche,station,2014,1,16,2,site,0.83,73
Panoche,station,2014,1,16,3,site,0.06,72
Panoche,station,2014,1,16,4,site,-0.28,74
Panoche,station,2014,1,16,5,site,-0.83,77
Panoche,station,2014,1,16,6,site,-1.61,80
Panoche,station,2014,1,16,7,site,-1.89,78
Panoche,station,2014,1,16,8,site,-1.44,79
Panoche,station,2014,1,16,9,site,3.28,73
Panoche,station,2014,1,16,10,site,8.56,64
Panoche,station,2014,1,16,11,site,13.39,49
Panoche,station,2014,1,16,12,site,15.89,41
Panoche,station,2014,1,16,13,site,17.89,35
Panoche,station,2014,1,16,14,site,19.17,31
Panoche,station,2014,1,16,15,site,19.78,28
Panoche,station,2014,1,16,16,site,20.06,27
Panoche,station,2014,1,16,17,site,18.5,31
Panoche,station,2014,1,16,18,site,14.67,41
Panoche,station,2014,1,16,19,site,11.67,50
Panoche,station,2014,1,16,20,site,8.39,56
Panoche,station,2014,1,16,21,site,5.94,64
Panoche,station,2014,1,16,22,site,5.44,73
Panoche,station,2014,1,16,23,site,4,74
Panoche,station,2014,1,16,24,site,2.17,67
Panoche,station,2014,1,17,1,site,1.28,68
Panoche,station,2014,1,17,2,site,0.89,73
Panoche,station,2014,1,17,3,site,1.06,75
Panoche,station,2014,1,17,4,site,0.56,81
Panoche,station,2014,1,17,5,site,-0.72,74
Panoche,station,2014,1,17,6,site,-0.44,76
Panoche,station,2014,1,17,7,site,-0.56,82
Panoche,station,2014,1,17,8,site,-0.83,85
Panoche,station,2014,1,17,9,site,2.67,83
Panoche,station,2014,1,17,10,site,7.44,71
Panoche,station,2014,1,17,11,site,11.22,56
Panoche,station,2014,1,17,12,site,14.67,48
Panoche,station,2014,1,17,13,site,17.44,39
Panoche,station,2014,1,17,14,site,19,36
Panoche,station,2014,1,17,15,site,19.39,35
Panoche,station,2014,1,17,16,site,19,36
Panoche,station,2014,1,17,17,site,17.17,39
Panoche,station,2014,1,17,18,site,13.5,49
Panoche,station,2014,1,17,19,site,11.22,59
Panoche,station,2014,1,17,20,site,8.11,70
Panoche,station,2014,1,17,21,site,6.17,74
Panoche,station,2014,1,17,22,site,5.17,78
Panoche,station,2014,1,17,23,site,3.67,79
Panoche,station,2014,1,17,24,site,2.72,78
Panoche,station,2014,1,18,1,site,1.22,75
Panoche,station,2014,1,18,2,site,0.5,77
Panoche,station,2014,1,18,3,site,0.44,81
Panoche,station,2014,1,18,4,site,0.22,86
Panoche,station,2014,1,18,5,site,-0.67,84
Panoche,station,2014,1,18,6,site,-1.33,82
Panoche,station,2014,1,18,7,site,-2.06,80
Panoche,station,2014,1,18,8,site,-1.94,78
Panoche,station,2014,1,18,9,site,3.61,73
Panoche,station,2014,1,18,10,site,8.33,58
Panoche,station,2014,1,18,11,site,12.72,46
Panoche,station,2014,1,18,12,site,15.72,39
Panoche,station,2014,1,18,13,site,17.56,34
Panoche,station,2014,1,18,14,site,19.28,29
Panoche,station,2014,1,18,15,site,19.89,28
Panoche,station,2014,1,18,16,site,19.67,29
Panoche,station,2014,1,18,17,site,17.39,36
Panoche,station,2014,1,18,18,site,13.39,43
Panoche,station,2014,1,18,19,site,9.78,53
Panoche,station,2014,1,18,20,site,7.67,49
Panoche,station,2014,1,18,21,site,5.33,62
Panoche,station,2014,1,18,22,site,3.89,64
Panoche,station,2014,1,18,23,site,2.5,65
Panoche,station,2014,1,18,24,site,2.78,66
Panoche,station,2014,1,19,1,site,1.78,69
Panoche,station,2014,1,19,2,site,0,68
Panoche,station,2014,1,19,3,site,-0.06,66
Panoche,station,2014,1,19,4,site,-0.44,67
Panoche,station,2014,1,19,5,site,0.17,70
Panoche,station,2014,1,19,6,site,-1,73
Panoche,station,2014,1,19,7,site,-1.56,79
Panoche,station,2014,1,19,8,site,-2.28,80
Panoche,station,2014,1,19,9,site,2.56,74
Panoche,station,2014,1,19,10,site,7.89,55
Panoche,station,2014,1,19,11,site,11.39,47
Panoche,station,2014,1,19,12,site,15,39
Panoche,station,2014,1,19,13,site,17.22,34
Panoche,station,2014,1,19,14,site,18.67,32
Panoche,station,2014,1,19,15,site,19.78,29
Panoche,station,2014,1,19,16,site,19.17,32
Panoche,station,2014,1,19,17,site,17,39
Panoche,station,2014,1,19,18,site,13.39,46
Panoche,station,2014,1,19,19,site,10.39,57
Panoche,station,2014,1,19,20,site,8.72,68
Panoche,station,2014,1,19,21,site,5.78,75
Panoche,station,2014,1,19,22,site,4.94,74
Panoche,station,2014,1,19,23,site,3.78,71
Panoche,station,2014,1,19,24,site,3.5,72
Panoche,station,2014,1,20,1,site,2.22,69
Panoche,station,2014,1,20,2,site,1.72,72
Panoche,station,2014,1,20,3,site,0.22,73
Panoche,station,2014,1,20,4,site,-0.22,77
Panoche,station,2014,1,20,5,site,-0.33,80
Panoche,station,2014,1,20,6,site,-1.67,77
Panoche,station,2014,1,20,7,site,-1.11,79
Panoche,station,2014,1,20,8,site,-1.56,77
Panoche,station,2014,1,20,9,site,2.94,70
Panoche,station,2014,1,20,10,site,8.94,57
Panoche,station,2014,1,20,11,site,12.83,45
Panoche,station,2014,1,20,12,site,15.33,37
Panoche,station,2014,1,20,13,site,17.22,33
Panoche,station,2014,1,20,14,site,18.56,30
Panoche,station,2014,1,20,15,site,19.33,28
