site,sensor,date,year,month,day,hour,lat,lon,microsite,rep,temp,intensity,pendant.id
panoche,hobo.pendant,05/26/19,2019,5,26,03:24:11,36.69532,-120.79684,shrub.soil,1,54.842,,1174238
panoche,hobo.pendant,05/26/19,2019,5,26,04:24:11,36.69532,-120.79684,shrub.soil,1,55.364,,1174238
panoche,hobo.pendant,05/26/19,2019,5,26,05:24:11,36.69532,-120.79684,shrub.soil,1,55.364,,1174238
panoche,hobo.pendant,05/26/19,2019,5,26,06:24:11,36.69532,-120.79684,shrub.soil,1,54.495,,1174238
panoche,hobo.pendant,05/26/19,2019,5,26,07:24:11,36.69532,-120.79684,shrub.soil,1,57.268,6,1174238
panoche,hobo.pendant,05/26/19,2019,5,26,08:24:11,36.69532,-120.79684,shrub.soil,1,62.083,14,1174238
panoche,hobo.pendant,05/26/19,2019,5,26,09:24:11,36.69532,-120.79684,shrub.soil,1,63.455,4,1174238
panoche,hobo.pendant,05/26/19,2019,5,26,10:24:11,36.69532,-120.79684,shrub.soil,1,71.512,1,1174238
panoche,hobo.pendant,05/26/19,2019,5,26,11:24:11,36.69532,-120.79684,shrub.soil,1,71.339,7,1174238
panoche,hobo.pendant,05/26/19,2019,5,26,12:24:11,36.69532,-120.79684,shrub.soil,1,81.266,19,1174238
panoche,hobo.pendant,05/26/19,2019,5,26,13:24:11,36.69532,-120.79684,shrub.soil,1,77.923,32,1174238
panoche,hobo.pendant,05/26/19,2019,5,26,14:24:11,36.69532,-120.79684,shrub.soil,1,74.271,2,1174238
panoche,hobo.pendant,05/26/19,2019,5,26,15:24:11,36.69532,-120.79684,shrub.soil,1,80.029,16,1174238
panoche,hobo.pendant,05/26/19,2019,5,26,16:24:11,36.69532,-120.79684,shrub.soil,1,76.528,,1174238
panoche,hobo.pendant,05/26/19,2019,5,26,17:24:11,36.69532,-120.79684,shrub.soil,1,69.793,,1174238
panoche,hobo.pendant,05/26/19,2019,5,26,18:24:11,36.69532,-120.79684,shrub.soil,1,65.851,,1174238
panoche,hobo.pendant,05/26/19,2019,5,26,19:24:11,36.69532,-120.79684,shrub.soil,1,61.054,,1174238
panoche,hobo.pendant,05/26/19,2019,5,26,20:24:11,36.69532,-120.79684,shrub.soil,1,56.75,,1174238
panoche,hobo.pendant,05/26/19,2019,5,26,21:24:11,36.69532,-120.79684,shrub.soil,1,53.274,,1174238
panoche,hobo.pendant,05/26/19,2019,5,26,22:24:11,36.69532,-120.79684,shrub.soil,1,51.874,,1174238
panoche,hobo.pendant,05/26/19,2019,5,26,23:24:11,36.69532,-120.79684,shrub.soil,1,50.643,,1174238
panoche,hobo.pendant,05/27/19,2019,5,27,00:24:11,36.69532,-120.79684,shrub.soil,1,49.937,,1174238
